(PID, SMS), (DN, sms.db), (DP, /home/kali/Desktop/RA/Beth iPhone/Apple_iPhone X (A1901)/filesystem1/private/var/mobile/Library/SMS/sms.db), (TN, chat_message_join), (RL, 237), (chat_id, 12), (message_id, 251), (message_date, 643912843864344064)

(PID, SMS), (DN, sms.db), (DP, /home/kali/Desktop/RA/Beth iPhone/Apple_iPhone X (A1901)/filesystem1/private/var/mobile/Library/SMS/sms.db), (TN, chat_message_join), (RL, 238), (chat_id, 12), (message_id, 252), (message_date, 643912856461863936)

(PID, SMS), (DN, sms.db), (DP, /home/kali/Desktop/RA/Beth iPhone/Apple_iPhone X (A1901)/filesystem1/private/var/mobile/Library/SMS/sms.db), (TN, chat_message_join), (RL, 239), (chat_id, 12), (message_id, 253), (message_date, 643931610686288896)

(PID, SMS), (DN, sms.db), (DP, /home/kali/Desktop/RA/Beth iPhone/Apple_iPhone X (A1901)/filesystem1/private/var/mobile/Library/SMS/sms.db), (TN, chat_message_join), (RL, 240), (chat_id, 12), (message_id, 254), (message_date, 644111224369350016)

(PID, SMS), (DN, sms.db), (DP, /home/kali/Desktop/RA/Beth iPhone/Apple_iPhone X (A1901)/filesystem1/private/var/mobile/Library/SMS/sms.db), (TN, chat_message_join), (RL, 241), (chat_id, 12), (message_id, 255), (message_date, 644278457833401984)

(PID, SMS), (DN, sms.db), (DP, /home/kali/Desktop/RA/Beth iPhone/Apple_iPhone X (A1901)/filesystem1/private/var/mobile/Library/SMS/sms.db), (TN, chat_message_join), (RL, 242), (chat_id, 12), (message_id, 256), (message_date, 644370269031260032)

(PID, SMS), (DN, sms.db), (DP, /home/kali/Desktop/RA/Beth iPhone/Apple_iPhone X (A1901)/filesystem1/private/var/mobile/Library/SMS/sms.db), (TN, chat_message_join), (RL, 243), (chat_id, 12), (message_id, 257), (message_date, 644523449801913984)

