
(LID, 4001), (RL, 327), (text, then turn left on Canal Rd), (path, database//Jane//1624905763-863990-10.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905766)

(LID, 4002), (RL, 328), (text, then use either lane to keep right), (path, database//Jane//1624905763-866363-15.tts), (storage_type, 2), (text_type, 0), (update_time, 1624905766)

(LID, 4003), (RL, 329), (text, keep right to Ronald Reagan Pkwy / to Ameriplex Pkwy), (path, database//Jane//1624905763-866364-16.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905766)

(LID, 4004), (RL, 330), (text, use the right four lanes to keep right), (path, database//Jane//1624905763-866365-17.tts), (storage_type, 2), (text_type, 0), (update_time, 1624905766)

(LID, 4005), (RL, 331), (text, use the right four lanes to keep right to Ronald Reagan Pkwy / to Ameriplex Pkwy), (path, database//Jane//1624905763-866365-18.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905766)

(LID, 4006), (RL, 332), (text, use the left three lanes to keep left), (path, database//Jane//1624905763-865870-11.tts), (storage_type, 2), (text_type, 0), (update_time, 1624905766)

(LID, 4007), (RL, 333), (text, use the right two lanes to exit right), (path, database//Jane//1624905763-865871-12.tts), (storage_type, 2), (text_type, 0), (update_time, 1624905766)

(LID, 4008), (RL, 334), (text, use the right two lanes to exit), (path, database//Jane//1624905763-865871-13.tts), (storage_type, 2), (text_type, 0), (update_time, 1624905766)

(LID, 4009), (RL, 335), (text, use either lane to keep right), (path, database//Jane//1624905763-865872-14.tts), (storage_type, 2), (text_type, 0), (update_time, 1624905766)

(LID, 4010), (RL, 336), (text, 7800 Col. H. Weir Cook Memorial Dr), (path, database//Jane//1624905763-813154-0.tts), (storage_type, 2), (text_type, 2), (update_time, 1624905766)

(LID, 4011), (RL, 337), (text, Indianapolis International Airport (IND), (path, database//Jane//1624905763-813662-1.tts), (storage_type, 2), (text_type, 0), (update_time, 1624905766)

(LID, 4012), (RL, 338), (text, Let's take I-65 S), (path, database//Jane//1624905763-813663-2.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905766)

(LID, 4013), (RL, 339), (text, then use the right two lanes to keep right), (path, database//Jane//1624905763-867248-23.tts), (storage_type, 2), (text_type, 0), (update_time, 1624905766)

(LID, 4014), (RL, 340), (text, then use the right two lanes to keep right to Indianapolis Int'l Airport), (path, database//Jane//1624905763-867249-24.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905766)

(LID, 4015), (RL, 341), (text, keep left to Arrivals / Baggage Claim), (path, database//Jane//1624905763-867249-25.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905766)

(LID, 4016), (RL, 342), (text, you'll arrive at Indianapolis International Airport (IND), (path, database//Jane//1624905763-867250-26.tts), (storage_type, 2), (text_type, 3), (update_time, 1624905766)

(LID, 4017), (RL, 343), (text, turn left on N 9th St), (path, database//Jane//1624905766-529600-28.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905766)

(LID, 4018), (RL, 344), (text, turn right to I-65 S / Indianapolis), (path, database//Jane//1624905766-522295-27.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905766)

(LID, 4019), (RL, 345), (text, turn left on Schuyler Ave), (path, database//Jane//1624905766-577239-31.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905767)

(LID, 4020), (RL, 346), (text, turn left on Duncan Rd), (path, database//Jane//1624905766-540098-29.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905767)

(LID, 4021), (RL, 347), (text, turn right on N Sagamore Pkwy), (path, database//Jane//1624905766-540098-30.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905767)

(LID, 4022), (RL, 348), (text, keep left to I-65 S / to I-465 S), (path, database//Jane//1624905766-694720-32.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905767)

(LID, 4023), (RL, 349), (text, use the left three lanes to keep left to I-65 S / to I-465 S), (path, database//Jane//1624905766-694722-33.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905767)

(LID, 4024), (RL, 350), (text, exit to Exit 9B: I-70 W / St. Louis / Indianapolis Int'l Airport), (path, database//Jane//1624905767-624683-42.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905769)

(LID, 4025), (RL, 351), (text, exit right to Exit 9B: I-70 W / St. Louis / Indianapolis Int'l Airport), (path, database//Jane//1624905767-624684-43.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905769)

(LID, 4026), (RL, 352), (text, use the right two lanes to exit right to Exit 9B: I-70 W / St. Louis / Indianapolis Int'l Airport), (path, database//Jane//1624905767-624685-44.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905769)

(LID, 4027), (RL, 353), (text, use the right two lanes to exit to Exit 9B: I-70 W / St. Louis / Indianapolis Int'l Airport), (path, database//Jane//1624905767-624685-45.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905769)

(LID, 4028), (RL, 354), (text, exit to Exit 123: I-465 S / Indianapolis Int'l Airport), (path, database//Jane//1624905767-610181-38.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905770)

(LID, 4029), (RL, 355), (text, exit right to Exit 123: I-465 S / Indianapolis Int'l Airport), (path, database//Jane//1624905767-610183-39.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905770)

(LID, 4030), (RL, 356), (text, use the right two lanes to exit right to Exit 123: I-465 S / Indianapolis Int'l Airport), (path, database//Jane//1624905767-610184-40.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905770)

(LID, 4031), (RL, 357), (text, use the right two lanes to exit to Exit 123: I-465 S / Indianapolis Int'l Airport), (path, database//Jane//1624905767-610184-41.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905770)

(LID, 4032), (RL, 358), (text, keep right to Exit 9B: I-70 W / St. Louis / Indianapolis Int'l Airport), (path, database//Jane//1624905767-551699-34.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905770)

(LID, 4033), (RL, 359), (text, then keep right to Exit 9B: I-70 W / St. Louis / Indianapolis Int'l Airport), (path, database//Jane//1624905767-551703-35.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905770)

(LID, 4034), (RL, 360), (text, use either lane to keep right to Exit 9B: I-70 W / St. Louis / Indianapolis Int'l Airport), (path, database//Jane//1624905767-551705-36.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905770)

(LID, 4035), (RL, 361), (text, then use either lane to keep right to Exit 9B: I-70 W / St. Louis / Indianapolis Int'l Airport), (path, database//Jane//1624905767-551706-37.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905770)

(LID, 4036), (RL, 362), (text, Let's take US-231 S, and US-52 E; I-65 S), (path, database//Jane//1624905787-992864-46.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905790)

(LID, 4037), (RL, 363), (text, keep right to Northwestern Ave), (path, database//Jane//1624905788-15669-47.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905790)

(LID, 4038), (RL, 364), (text, then keep right to Northwestern Ave), (path, database//Jane//1624905788-15672-48.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905790)

(LID, 4039), (RL, 365), (text, turn left on W State St), (path, database//Jane//1624905788-15672-49.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905790)

(LID, 4040), (RL, 366), (text, turn right on S River Rd), (path, database//Jane//1624905788-15673-50.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905790)

(LID, 4041), (RL, 367), (text, use either lane to continue straight), (path, database//Jane//1624905788-22052-55.tts), (storage_type, 2), (text_type, 0), (update_time, 1624905790)

(LID, 4042), (RL, 368), (text, use either lane to continue straight to I-65 S), (path, database//Jane//1624905788-22053-56.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905790)

(LID, 4043), (RL, 369), (text, you'll arrive at Indianapolis International Airport (IND), (path, database//Jane//1624905788-22054-57.tts), (storage_type, 2), (text_type, 3), (update_time, 1624905790)

(LID, 4044), (RL, 370), (text, turn right on US-52 E), (path, database//Jane//1624905789-571698-58.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905790)

(LID, 4045), (RL, 371), (text, turn left on IN-28), (path, database//Jane//1624905789-853395-59.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905790)

(LID, 4046), (RL, 372), (text, at the roundabout, continue straight on S River Rd), (path, database//Jane//1624905788-17567-51.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905790)

